"Read","Counts","Read Position Start","Read Position End","Read Size (rs)","Mean Read Size (mrs)","mrs/rs"
"SL2.50ch00:11685673-11686943","397","11685673","11686943","1270","1549.65308533","0.819538264419"
"SL2.50ch00:11685700-11686817","397","11685700","11686817","1117","1549.65308533","0.720806489257"
"SL2.50ch00:11687544-11689658","694","11687544","11689658","2114","1549.65308533","1.36417629211"
"SL2.50ch00:11687618-11689565","692","11687618","11689565","1947","1549.65308533","1.25641023687"
"SL2.50ch00:11690380-11693474","577","11690380","11693474","3094","1549.65308533","1.99657589773"
"SL2.50ch00:11690522-11694248","696","11690522","11694248","3726","1549.65308533","2.40440911278"
"SL2.50ch00:11695274-11695742","108","11695274","11695742","468","1549.65308533","0.302003076967"
"SL2.50ch00:11695276-11695733","108","11695276","11695733","457","1549.65308533","0.294904714047"
"SL2.50ch00:11697579-11698449","359","11697579","11698449","870","1549.65308533","0.561415976413"
"SL2.50ch00:11697607-11698431","352","11697607","11698431","824","1549.65308533","0.531731913292"
"SL2.50ch00:11736196-11738172","1174","11736196","11738172","1976","1549.65308533","1.27512410275"
"SL2.50ch00:11736294-11738166","1170","11736294","11738166","1872","1549.65308533","1.20801230787"
"SL2.50ch00:11740279-11741152","100","11740279","11741152","873","1549.65308533","0.563351893573"
"SL2.50ch00:11773891-11775716","2907","11773891","11775716","1825","1549.65308533","1.17768293903"
"SL2.50ch00:11773930-11775744","2891","11773930","11775744","1814","1549.65308533","1.17058457611"
"SL2.50ch00:11777392-11778541","2056","11777392","11778541","1149","1549.65308533","0.741456272297"
"SL2.50ch00:11777422-11778524","2052","11777422","11778524","1102","1549.65308533","0.711126903457"
"SL2.50ch00:11780867-11786256","6605","11780867","11786256","5389","1549.65308533","3.47755252516"
"SL2.50ch00:11780940-11782127","1640","11780940","11782127","1187","1549.65308533","0.765977889658"
"SL2.50ch00:11782630-11786168","4933","11782630","11786168","3538","1549.65308533","2.28309163741"
"SL2.50ch00:11789557-11790432","116","11789557","11790432","875","1549.65308533","0.564642505013"
"SL2.50ch00:11796774-11810562","25584","11796774","11810562","13788","1549.65308533","8.89747526757"
"SL2.50ch00:11798123-11810441","25453","11798123","11810441","12318","1549.65308533","7.94887585915"
"SL2.50ch00:11811283-11817977","631","11811283","11817977","6694","1549.65308533","4.31967648978"
"SL2.50ch00:11818480-11818844","49","11818480","11818844","364","1549.65308533","0.234891282085"
"SL2.50ch00:11818814-11820433","151","11818814","11820433","1619","1549.65308533","1.0447499607"
"SL2.50ch00:11851604-11851979","62","11851604","11851979","375","1549.65308533","0.241989645006"
"SL2.50ch00:11855458-11855833","51","11855458","11855833","375","1549.65308533","0.241989645006"
"SL2.50ch00:11857566-11868424","1579","11857566","11868424","10858","1549.65308533","7.00672950792"
"SL2.50ch00:11858692-11861776","567","11858692","11861776","3084","1549.65308533","1.99012284053"
"SL2.50ch00:11863372-11864721","225","11863372","11864721","1349","1549.65308533","0.8705174163"
"SL2.50ch00:11865558-11866953","223","11865558","11866953","1395","1549.65308533","0.900201479421"
"SL2.50ch00:11879807-11880392","74","11879807","11880392","585","1549.65308533","0.377503846209"
"SL2.50ch00:11901041-11902147","127","11901041","11902147","1106","1549.65308533","0.713708126337"
"SL2.50ch00:11919197-11920404","104","11919197","11920404","1207","1549.65308533","0.778884004058"
"SL2.50ch00:11934769-11935987","319","11934769","11935987","1218","1549.65308533","0.785982366978"
"SL2.50ch00:11934789-11936007","319","11934789","11936007","1218","1549.65308533","0.785982366978"
"SL2.50ch00:11944467-11945834","277","11944467","11945834","1367","1549.65308533","0.882132919261"
"SL2.50ch00:11944480-11945795","270","11944480","11945795","1315","1549.65308533","0.84857702182"
